,Martin_b,Martin_b,Martin_b,Martin_b,Martin_b,Martin_b,Martin_b,Martin_b,Martin_b,Martin_b,Martin_b,Martin_b,Martin_b,Martin_b,Martin_b,Martin_b,Martin_b,Martin_b,Martin_b,Martin_b,Martin_b,Martin_b,Martin_b,Martin_b,z_star,z_star,z_star,z_star,z_star,z_star,z_star,z_star,z_star,z_star,z_star,z_star,z_star,z_star,z_star,z_star,z_star,z_star,z_star,z_star,z_star,z_star,z_star,z_star
,Mean of monthly fits,Mean of monthly fits,Mean of monthly fits,Mean of monthly fits,Mean of monthly fits,Mean of monthly fits,Mean of monthly fits,Mean of monthly fits,Mean of monthly fits,Mean of monthly fits,Mean of monthly fits,Mean of monthly fits,Fit to annual POC flux profiles,Fit to annual POC flux profiles,Fit to annual POC flux profiles,Fit to annual POC flux profiles,Fit to annual POC flux profiles,Fit to annual POC flux profiles,Fit to annual POC flux profiles,Fit to annual POC flux profiles,Fit to annual POC flux profiles,Fit to annual POC flux profiles,Fit to annual POC flux profiles,Fit to annual POC flux profiles,Mean of monthly fits,Mean of monthly fits,Mean of monthly fits,Mean of monthly fits,Mean of monthly fits,Mean of monthly fits,Mean of monthly fits,Mean of monthly fits,Mean of monthly fits,Mean of monthly fits,Mean of monthly fits,Mean of monthly fits,Fit to annual POC flux profiles,Fit to annual POC flux profiles,Fit to annual POC flux profiles,Fit to annual POC flux profiles,Fit to annual POC flux profiles,Fit to annual POC flux profiles,Fit to annual POC flux profiles,Fit to annual POC flux profiles,Fit to annual POC flux profiles,Fit to annual POC flux profiles,Fit to annual POC flux profiles,Fit to annual POC flux profiles
,not log-log,not log-log,not log-log,not log-log,not log-log,not log-log,log-log,log-log,log-log,log-log,log-log,log-log,not log-log,not log-log,not log-log,not log-log,not log-log,not log-log,log-log,log-log,log-log,log-log,log-log,log-log,not log-log,not log-log,not log-log,not log-log,not log-log,not log-log,log-log,log-log,log-log,log-log,log-log,log-log,not log-log,not log-log,not log-log,not log-log,not log-log,not log-log,log-log,log-log,log-log,log-log,log-log,log-log
,not normalised,not normalised,not normalised,normalised,normalised,normalised,not normalised,not normalised,not normalised,normalised,normalised,normalised,not normalised,not normalised,not normalised,normalised,normalised,normalised,not normalised,not normalised,not normalised,normalised,normalised,normalised,not normalised,not normalised,not normalised,normalised,normalised,normalised,not normalised,not normalised,not normalised,normalised,normalised,normalised,not normalised,not normalised,not normalised,normalised,normalised,normalised,not normalised,not normalised,not normalised,normalised,normalised,normalised
Location,100 m,zeu,inflexion,100 m,zeu,inflexion,100 m,zeu,inflexion,100 m,zeu,inflexion,100 m,zeu,inflexion,100 m,zeu,inflexion,100 m,zeu,inflexion,100 m,zeu,inflexion,100 m,zeu,inflexion,100 m,zeu,inflexion,100 m,zeu,inflexion,100 m,zeu,inflexion,100 m,zeu,inflexion,100 m,zeu,inflexion,100 m,zeu,inflexion,100 m,zeu,inflexion
HOT/ALOHA,0.61,0.91,2.06,0.8,0.93,3.23,0.86,1.11,1.52,1.19,2.39,1.92,0.99,1,1.16,1.32,1.38,1.63,1.14,1.13,1.21,1.48,1.52,1.64,275,292,113,199,247,50,913,1024,822,821,415,746,255,254,199,170,158,125,1022,1022,986,859,844,827
BATS/OFP,0.7,0.94,2.36,0.9,1.53,3.92,0.99,1.19,1.73,1.44,2.52,2.14,1.09,1.09,1.19,1.54,1.53,1.7,1.24,1.23,1.27,1.93,1.95,2.02,274,269,113,208,154,50,870,937,750,784,428,806,215,215,204,145,147,137,994,995,992,486,499,513
EqPac,0.84,2.23,2.23,1.4,2.69,2.69,1.27,1.83,1.83,2.69,4,4,1.67,0.8,1.58,2.43,1.24,2.28,1.43,1.05,1.41,1.91,1.67,1.94,194,66,66,124,76,76,497,386,386,214,165,165,87,174,88,56,106,56,533,628,530,424,461,409
PAP-SO,NaN,0.28,NaN,0.71,0.68,4,0.56,0.56,NaN,1.49,1.63,3.18,0.41,0.32,1.03,0.59,0.64,1.82,0.53,0.52,1.23,1.37,1.52,2.04,813,835,NaN,298,311,50,911,911,NaN,414,399,257,493,541,280,365,252,134,1023,848,744,482,324,422
OSP,1.67,1.66,1.23,NaN,NaN,0.98,NaN,NaN,1.07,1.73,1.99,1.63,0.66,0.85,0.95,1.17,1.25,1.24,0.75,0.85,0.92,1.79,1.75,1.48,NaN,NaN,50,NaN,NaN,63,NaN,NaN,NaN,408,381,354,342,136,91,134,97,61,1019,793,629,419,378,376
HAUSGARTEN,2.5,0.16,2.52,1.89,1.06,1.97,0.3,0.2,0.28,0.14,1.15,NaN,0.53,0.54,1.83,0.91,0.92,2.22,0.47,0.47,NaN,1.15,1.31,1.68,54,2000,54,70,285,68,NaN,NaN,NaN,NaN,1002,NaN,357,279,61,155,147,52,1717,1632,NaN,708,663,481
