,Martin_b,Martin_b,Martin_b,Martin_b,Martin_b,Martin_b,Martin_b,Martin_b,Martin_b,Martin_b,Martin_b,Martin_b,Martin_b,Martin_b,Martin_b,Martin_b,Martin_b,Martin_b,z_star,z_star,z_star,z_star,z_star,z_star,z_star,z_star,z_star,z_star,z_star,z_star,z_star,z_star,z_star,z_star,z_star,z_star,Teff_100_to_1000m,Teff_100_to_1000m,Teff_100_to_1000m,Teff_100_to_1000m,Teff_100_to_1000m,Teff_100_to_1000m,Teff_100_to_1000m,Teff_100_to_1000m,Teff_100_to_1000m,Teff_100_to_1000m,Teff_100_to_1000m,Teff_100_to_1000m,Teff_100_to_1000m,Teff_100_to_1000m,Teff_100_to_1000m,Teff_100_to_1000m,Teff_100_to_1000m,Teff_100_to_1000m
,HOT/ALOHA,HOT/ALOHA,HOT/ALOHA,BATS/OFP,BATS/OFP,BATS/OFP,EqPac,EqPac,EqPac,PAP-SO,PAP-SO,PAP-SO,OSP,OSP,OSP,HAUSGARTEN,HAUSGARTEN,HAUSGARTEN,HOT/ALOHA,HOT/ALOHA,HOT/ALOHA,BATS/OFP,BATS/OFP,BATS/OFP,EqPac,EqPac,EqPac,PAP-SO,PAP-SO,PAP-SO,OSP,OSP,OSP,HAUSGARTEN,HAUSGARTEN,HAUSGARTEN,HOT/ALOHA,HOT/ALOHA,HOT/ALOHA,BATS/OFP,BATS/OFP,BATS/OFP,EqPac,EqPac,EqPac,PAP-SO,PAP-SO,PAP-SO,OSP,OSP,OSP,HAUSGARTEN,HAUSGARTEN,HAUSGARTEN
Reference,low_std,mean,upp_std,low_std,mean,upp_std,low_std,mean,upp_std,low_std,mean,upp_std,low_std,mean,upp_std,low_std,mean,upp_std,low_std,mean,upp_std,low_std,mean,upp_std,low_std,mean,upp_std,low_std,mean,upp_std,low_std,mean,upp_std,low_std,mean,upp_std,low_std,mean,upp_std,low_std,mean,upp_std,low_std,mean,upp_std,low_std,mean,upp_std,low_std,mean,upp_std,low_std,mean,upp_std
Francois et al. (2002),NaN,NaN,NaN,NaN,0.97,NaN,NaN,0.66,NaN,NaN,NaN,NaN,NaN,0.8,NaN,NaN,1.61,NaN,NaN,NaN,NaN,NaN,403,NaN,NaN,592,NaN,NaN,NaN,NaN,NaN,489,NaN,NaN,243,NaN,NaN,NaN,NaN,NaN,0.107,NaN,NaN,0.219,NaN,NaN,NaN,NaN,NaN,0.158,NaN,NaN,0.025,NaN
Francois et al. (2002),NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.81,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,483,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.155,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Francois et al. (2002),NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.59,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,662,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.257,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Francois et al. (2002),NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.71,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,551,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.195,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Buesseler & Boyd (2009),0.77,1.17,1.57,NaN,NaN,NaN,0.917,1.03,1.143,NaN,NaN,NaN,0.98,1.05,1.12,NaN,NaN,NaN,68,216,364,NaN,NaN,NaN,183,217,251,NaN,NaN,NaN,58,78,98,NaN,NaN,NaN,0.027,0.068,0.169,NaN,NaN,NaN,0.072,0.093,0.121,NaN,NaN,NaN,0.076,0.089,0.105,NaN,NaN,NaN
Buesseler & Boyd (2009),NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.02,1.16,1.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,57,77,97,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.05,0.069,0.095,NaN,NaN,NaN
Lam et al. (2011),0.73,1.49,2.25,NaN,NaN,NaN,0.159,0.325,0.491,NaN,NaN,NaN,0.752,1.535,2.318,NaN,NaN,NaN,168,254,482,NaN,NaN,NaN,771,1165,2208,NaN,NaN,NaN,163,246,467,NaN,NaN,NaN,0.006,0.032,0.182,NaN,NaN,NaN,0.324,0.474,0.691,NaN,NaN,NaN,0.005,0.029,0.175,NaN,NaN,NaN
Lam et al. (2011),0.744,1.52,2.296,NaN,NaN,NaN,0.659,1.345,2.031,NaN,NaN,NaN,0.463,0.945,1.427,NaN,NaN,NaN,164,250,475,NaN,NaN,NaN,186,282,532,NaN,NaN,NaN,265,401,762,NaN,NaN,NaN,0.005,0.03,0.176,NaN,NaN,NaN,0.01,0.046,0.218,NaN,NaN,NaN,0.038,0.114,0.341,NaN,NaN,NaN
Lam et al. (2011),0.519,1.06,1.601,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.416,0.85,1.284,NaN,NaN,NaN,236,359,682,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,295,446,848,NaN,NaN,NaN,0.025,0.087,0.298,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.052,0.141,0.379,NaN,NaN,NaN
Guidi et al. (2015),0.397,0.853,1.309,0.128,0.663,1.199,0.513,0.71,0.907,0.513,0.84,1.167,0.581,0.847,1.112,NaN,NaN,NaN,285,439,857,253,484,1188,430,549,760,333,463,752,353,462,670,NaN,NaN,NaN,0.049,0.141,0.401,0.063,0.216,0.733,0.124,0.195,0.305,0.068,0.144,0.303,0.078,0.142,0.261,NaN,NaN,NaN
Guidi et al. (2015),0.414,1.343,2.273,NaN,NaN,NaN,NaN,NaN,NaN,0.683,0.927,1.17,NaN,NaN,NaN,NaN,NaN,NaN,149,258,583,NaN,NaN,NaN,NaN,NaN,NaN,335,422,571,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.045,0.379,NaN,NaN,NaN,NaN,NaN,NaN,0.068,0.118,0.205,NaN,NaN,NaN,NaN,NaN,NaN
Mouw et al. (2016b),NaN,NaN,NaN,0.995,1.119,1.292,0.869,0.954,1.055,1.075,1.15,1.229,0.616,0.773,1.023,NaN,NaN,NaN,NaN,NaN,NaN,132,158,184,269,306,343,213,243,273,27,39,51,NaN,NaN,NaN,NaN,NaN,NaN,0.051,0.076,0.101,0.088,0.111,0.135,0.059,0.071,0.084,0.095,0.169,0.242,NaN,NaN,NaN
Henson et al. (2012),0.364,0.472,0.576,0.327,0.459,0.581,0.346,0.452,0.556,0.558,0.657,0.748,0.726,0.832,0.927,0.979,1.046,1.104,678,827,1074,672,851,1192,703,864,1130,523,595,700,421,470,538,354,374,399,0.265,0.337,0.432,0.262,0.347,0.471,0.278,0.353,0.451,0.179,0.22,0.276,0.118,0.147,0.188,0.079,0.09,0.105
Marsay et al. (2015),0.674,1.734,2.802,0.602,1.55,2.51,0.667,1.731,2.818,0.361,1.054,1.74,0.115,0.643,1.177,-0.088,0.403,0.888,0,43,463,0,98,477,0,43,462,0,252,525,169,379,587,259,451,645,-0.002,0.018,0.21,0.001,0.028,0.247,NaN,0.019,0.212,0.018,0.088,0.432,0.067,0.227,0.763,0.13,0.395,1.218
Weber et al. (2016),1.255,1.555,3.932,0.754,1.053,3.215,0.715,0.789,0.878,0.435,0.616,0.93,0.525,0.64,0.797,NaN,NaN,NaN,99,251,311,121,371,518,445,496,547,420,635,897,490,611,744,NaN,NaN,NaN,0,0.028,0.056,0,0.088,0.177,0.132,0.163,0.193,0.117,0.242,0.368,0.159,0.228,0.298,NaN,NaN,NaN
Weber et al. (2016),1.26,1.56,3.557,0.794,1.092,3.341,0.777,0.833,0.896,0.459,0.593,0.792,0.583,0.653,0.735,NaN,NaN,NaN,180,251,313,115,358,492,436,469,503,494,659,852,532,599,670,NaN,NaN,NaN,0,0.028,0.055,0,0.081,0.161,0.127,0.147,0.167,0.161,0.255,0.349,0.184,0.223,0.261,NaN,NaN,NaN
